fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
bde925346e5c55b6b969b62112931df77d1007bcf87c521adc4643cb9aab03c2,14570516174,1044283059,拼多多,cn,1,上划退出被恶意阻止,应用打开后启用了游戏常见的防止上划误退出的机制。导致打开应用退出要划好几次。这是一个非常差的体验，请平台注意，如果其他应用也模仿会极大影响iOS平台整体体验,应用打开后启用了游戏常见的防止上划误退出的机制。导致打开应用退出要划好几次。这是一个非常差的体验，请平台注意，如果其他应用也模仿会极大影响iOS平台整体体验,Jovial Wang,8.25.0,2026-09-20T01:48:44Z,False,itunes_rss_mostRecent,False,False
e24d26db0b11b1a7f2b086a34ae803a81aecea5c389268de167bf60d34b7cc0b,14570431300,1044283059,拼多多,cn,2,准时达,买东西现在很多显示准时达 但实际上根本不是 很多是提前签收第二天再送 这个时候就没有平台监督了 也就是即便他没有在第二天送达 也没办法 不如直接告诉我哪天送达 平台监督 我买的东西之前就丢过一次 第二天一直到第三天都没送到,买东西现在很多显示准时达 但实际上根本不是 很多是提前签收第二天再送 这个时候就没有平台监督了 也就是即便他没有在第二天送达 也没办法 不如直接告诉我哪天送达 平台监督 我买的东西之前就丢过一次 第二天一直到第三天都没送到,ableat,8.25.0,2026-09-20T01:15:55Z,False,itunes_rss_mostRecent,False,False
5a4a4839513e7b0dba2ee64e70b438985094cb138d6a2ddc235abcc06167e462,14570188181,1044283059,拼多多,cn,1,垃圾。,别下,别下,爱好女人👩,8.25.0,2026-09-19T23:38:48Z,False,itunes_rss_mostRecent,False,False
1909ce52a00b95422ec21b3345d90efbac8054977d27df45635dc937fe7c372f,14570059216,1044283059,拼多多,cn,1,iOS 的拼多多为什么那么卡,性能再垃圾的安卓 用拼多多都很流畅 但是 iOS26 开始 到我现在的 27 拼多多 老是卡 点了没反应 然后过一会弹出一大堆二级页面。当然 也可能是是 iOS 的问题 但 iOS 太傲慢了 反馈也没用 希望拼多多官方看到 优化一下 求求了,性能再垃圾的安卓 用拼多多都很流畅 但是 iOS26 开始 到我现在的 27 拼多多 老是卡 点了没反应 然后过一会弹出一大堆二级页面。当然 也可能是是 iOS 的问题 但 iOS 太傲慢了 反馈也没用 希望拼多多官方看到 优化一下 求求了,岑寅,8.25.0,2026-09-19T22:46:27Z,False,itunes_rss_mostRecent,False,False
c01316bb04f4ab471a891f3b845a9210f16f392ebeed29526dc92a00200566fa,14569976580,1044283059,拼多多,cn,1,全宇宙第一骗子,全宇宙第一骗子，毫无诚信可言,全宇宙第一骗子，毫无诚信可言,123abc-321,8.25.0,2026-09-19T22:13:08Z,False,itunes_rss_mostRecent,False,False
73c447f983b7aa77c6d9395b7a0e634da8aa29c81fe9ce4c7a34b66730f6084e,14569787904,1044283059,拼多多,cn,1,垃圾,弯弯绕绕多的很，很恶心人，垃圾软件还一直推，真无语,弯弯绕绕多的很，很恶心人，垃圾软件还一直推，真无语,失散多年D父亲n,8.25.0,2026-09-19T21:00:11Z,False,itunes_rss_mostRecent,False,False
2550d0eed587c6bc143f287c27d70b16c997cfe85f6ab4302e5b66159a8e605b,14569400330,1044283059,拼多多,cn,1,垃圾,Qnmbd拼夕夕，铺天盖地的广告，早点倒闭,Qnmbd拼夕夕，铺天盖地的广告，早点倒闭,Nwjsjajwjs,8.25.0,2026-09-19T18:46:38Z,False,itunes_rss_mostRecent,False,False
aa34154fdc27ce48d1a24f60fe4d5a849b8a7293fe32f02c62361115b5e06f2f,14569245639,1044283059,拼多多,cn,1,什么东西都要跳转到拼多多，所有的摇一摇广告都是你们家的,广告亖⭕➕,广告亖⭕➕,瑞幸的爹,8.25.0,2026-09-19T17:57:51Z,False,itunes_rss_mostRecent,False,False
6506b3315d5a0154733ad05959ad221a99cd04bd0034c475e3ccae46a7b81c14,14569129117,1044283059,拼多多,cn,5,多喝水,高中生我会带给,高中生我会带给,王子速度足协杯赛我这个,8.25.0,2026-09-19T17:22:09Z,False,itunes_rss_mostRecent,False,False
3caf1b02090f1fa48fe67167a31ad3471c4d6223153d39b0385071452138bc34,14569117616,1044283059,拼多多,cn,3,送货入村,为什么没有免费送货入村了、之前买东西都爱从拼多多买、后面有了送货入村更是喜欢了、现在突然没有了都不方便,为什么没有免费送货入村了、之前买东西都爱从拼多多买、后面有了送货入村更是喜欢了、现在突然没有了都不方便,米爱环,8.25.0,2026-09-19T17:18:41Z,False,itunes_rss_mostRecent,False,False
046a738cea82b9c46222e9b419fa11527b207b9bae037299e597ce37593944a5,14568771825,1044283059,拼多多,cn,1,拼多多垃圾,邀请给现金，邀几百人估计都不够，啥也不是,邀请给现金，邀几百人估计都不够，啥也不是,@58354,8.25.0,2026-09-19T15:38:33Z,False,itunes_rss_mostRecent,False,False
