fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
8a12493ef144c4e9736fd65dab5f76aa922b6ea4b6df427b4413eeedda8ef2d1,14569522330,335187483,Amazon,gb,1,Rubbish,Absolutely rubbish service. Can’t deliver items next day and when they do deliver they deliver parcels to the wrong address.,Absolutely rubbish service. Can’t deliver items next day and when they do deliver they deliver parcels to the wrong address.,Jellybeans12435,27.16.0,2026-09-19T19:26:32Z,False,itunes_rss_mostRecent,False,False
b4865f1ff6bb38351932e2385f770f0affda58fbafc9148e82ab5067ea61d57c,14568798303,335187483,Amazon,gb,1,Negligence,"I returned the package, and amazon came to collect it but they are saying now  that never received it.as a result they are refusing the refund me. I have lost 90£ because of their mistake.","I returned the package, and amazon came to collect it but they are saying now  that never received it.as a result they are refusing the refund me. I have lost 90£ because of their mistake.",Bahare Ahmadzadeardebili,27.16.0,2026-09-19T15:46:01Z,False,itunes_rss_mostRecent,False,False
dbe840c47c5329c04b007f78a20349b34e3d19f77908ab8f24b7586c3072ce29,14564960740,335187483,Amazon,gb,2,Poor service,"Once again delivered to wrong address and now gone missing, app just sends you in a endless roundabout without solving anything","Once again delivered to wrong address and now gone missing, app just sends you in a endless roundabout without solving anything",well frustrated,27.16.0,2026-09-18T16:43:05Z,False,itunes_rss_mostRecent,False,False
41fdf7327d1aad68c22bc870f0b201f5416380e23b5ba6d879bad8ae4ac6b2e1,14563799469,335187483,Amazon,gb,1,Disgusting system,"I found this system is really bad and slow. I order a cosmetic product and when  I received that was broken. So, I returned that on the next day and it’s after 2 months I still didn’t get any refund. When I try to contact they are not letting me get in contact with any UK number. Will never waste my money on Amazon","I found this system is really bad and slow. I order a cosmetic product and when  I received that was broken. So, I returned that on the next day and it’s after 2 months I still didn’t get any refund. When I try to contact they are not letting me get in contact with any UK number. Will never waste my money on Amazon",Kainat Arshad,27.16.0,2026-09-18T10:58:00Z,False,itunes_rss_mostRecent,False,False
e76f1ddfd4439779a215f36118ccd094f3a6e5a41dd63c349289fe9a55d4603a,14563573232,335187483,Amazon,gb,1,Illegal Practices,"Since the last update I can’t navigate back from my basket to continue shopping unless I force close the app. Far too many sellers are allowed to bait n switch items, ordered one thing only to be sent something entirely different too many times, Amazon actively hide those negative reviews and feedback, massive gaps in customer service, app constantly freezes or enters a cycle where you yo yo back n forth without a solution. Customer service agents who are not versed in local law or regulations regarding distance selling practices which expose amazon to local liability- I expect this review will not be published if it is - shock/horror","Since the last update I can’t navigate back from my basket to continue shopping unless I force close the app. Far too many sellers are allowed to bait n switch items, ordered one thing only to be sent something entirely different too many times, Amazon actively hide those negative reviews and feedback, massive gaps in customer service, app constantly freezes or enters a cycle where you yo yo back n forth without a solution. Customer service agents who are not versed in local law or regulations regarding distance selling practices which expose amazon to local liability- I expect this review will not be published if it is - shock/horror",jhgcsfv,27.16.0,2026-09-18T09:30:11Z,False,itunes_rss_mostRecent,False,False
04192be7bf653e1b4be40f38c2ed6089f2bbb209cd322a3a25366e34a598cc96,14561633927,335187483,Amazon,gb,1,Awful,Bad customer service and what’s more the app keeps opening on a prime subscription final confirmation page which I never want to go to rather than open the Home Screen. Very sneaky and unpleasant,Bad customer service and what’s more the app keeps opening on a prime subscription final confirmation page which I never want to go to rather than open the Home Screen. Very sneaky and unpleasant,designsetc,27.16.0,2026-09-17T19:52:31Z,False,itunes_rss_mostRecent,False,False
f2eec0f73a4ba5a576a31e3c067d7708f66f6071ca3bae1ea1cfb6b6aeb8a536,14560247113,335187483,Amazon,gb,3,Bug,"On iPhone 17 / iOS 27.0, if I go to checkout and proceed through any steps then decide I don’t want to checkout, I can’t back out to continue shopping. The app stops at the top of the “checkout process” as it were, and won’t go back to the shopping process.","On iPhone 17 / iOS 27.0, if I go to checkout and proceed through any steps then decide I don’t want to checkout, I can’t back out to continue shopping. The app stops at the top of the “checkout process” as it were, and won’t go back to the shopping process.",Tractorboy964,27.16.0,2026-09-17T12:45:10Z,False,itunes_rss_mostRecent,False,False
bf59748e52a28bc1c2d389ba533b10dc7444f98bd4867916e1eb071c4c7c5cb8,14559703342,335187483,Amazon,gb,3,App ok,"App is ok.  Not so keen on the company behaviour and practices. Fail to deliver, then make it very difficult to get refund, including hiding options normally visible to contact them.
Customer service is very poor and you will not be able to talk to a human.","App is ok.  Not so keen on the company behaviour and practices. Fail to deliver, then make it very difficult to get refund, including hiding options normally visible to contact them. 
Customer service is very poor and you will not be able to talk to a human.",Biob uk,27.16.0,2026-09-17T09:31:20Z,False,itunes_rss_mostRecent,False,False
d166452273bdc08ccb4f538e0c7f14bd7ee0d5519a7a0ee414656f17c9a6e931,14559685331,335187483,Amazon,gb,5,Great,"Great app, you can see clearly and easy to use","Great app, you can see clearly and easy to use",Easy to see and use,27.16.0,2026-09-17T09:23:18Z,False,itunes_rss_mostRecent,False,False
07246e292e3fb995db99cb6905b70c861b7933a62d1f7dac436969761ef2da35,14559408224,335187483,Amazon,gb,1,Default address,"Whenever I buy something even though I have one address as default, it always goes to another address no matter how many times I change it","Whenever I buy something even though I have one address as default, it always goes to another address no matter how many times I change it",Tooter the magnificent,27.16.0,2026-09-17T07:11:53Z,False,itunes_rss_mostRecent,False,False
c976fbee4c36ea0476db4f408af4d326f9ac18584861e192a68cac1c1c63823f,14558392572,335187483,Amazon,gb,1,Non prime members,"Delivery times for non prime members are ridiculous, so long.","Delivery times for non prime members are ridiculous, so long.",Angielondonct,27.16.0,2026-09-16T23:47:37Z,False,itunes_rss_mostRecent,False,False
52bca4543bf4acea70caf587cf891c43f5e0a6abfdd8f746e2b37edefcce444f,14557741182,335187483,Amazon,gb,5,12 yours old,12+ Amazon Shopping 🙏🏻💪🏼😇🥹🥹,12+ Amazon Shopping 🙏🏻💪🏼😇🥹🥹,Eyed Hafez,27.16.0,2026-09-16T19:37:19Z,False,itunes_rss_mostRecent,False,False
9a49829ddf49f71050c2faed2f86c218e042b6e15b41bbca3953f71ca785f8ad,14555313984,335187483,Amazon,gb,4,Changes,I don’t know why you think it’s a good idea to remove the ability to tap on an order and no longer be able to drill down to the actual product page. Please bring it back.,I don’t know why you think it’s a good idea to remove the ability to tap on an order and no longer be able to drill down to the actual product page. Please bring it back.,Tele-Addict,27.16.0,2026-09-16T05:44:53Z,False,itunes_rss_mostRecent,False,False
51817167c21fabaeb61d5b8a068aa0c935eca370a976622862c6c1e1d773fce9,14553434764,335187483,Amazon,gb,1,Bad,The worst service,The worst service,اليتسنسننسنيتت,27.16.0,2026-09-15T17:25:27Z,False,itunes_rss_mostRecent,False,False
170d5d259a926b184261bb44238a5bb94e97f58ffd72dd15dec16d8cfcd9290c,14550336398,335187483,Amazon,gb,1,delivery needs sorting,"im actually so fed up with this nonsense they always decide to delay my order on the last minute, my driver was only 3 stops away and they decided to turn around and delay my parcel and deliver it on a day that I have uni on. So fed up.","im actually so fed up with this nonsense they always decide to delay my order on the last minute, my driver was only 3 stops away and they decided to turn around and delay my parcel and deliver it on a day that I have uni on. So fed up.",Idk and jasper,27.16.0,2026-09-14T21:11:46Z,False,itunes_rss_mostRecent,False,False
58e278bbac596ef96d08525624b5c6c55226e7cb915fd173e3c3a536eee6a2f1,14550181261,335187483,Amazon,gb,3,Prime next day delivery does not exist on my account,Now at 3rd Time in a month wheee delivery is now at two days. What am I paying extra for prime for???,Now at 3rd Time in a month wheee delivery is now at two days. What am I paying extra for prime for???,Two Freakes,27.16.0,2026-09-14T20:12:34Z,False,itunes_rss_mostRecent,False,False
eda2874a8a04591ce7c8705a125e6a63942503ea799c3c254fbc8929988e204a,14549020768,335187483,Amazon,gb,5,Wonderful,Wonderful site for online purchase,Wonderful site for online purchase,Hdidjkzj,27.16.0,2026-09-14T13:56:46Z,False,itunes_rss_mostRecent,False,False
21d77960edd20bf62fe36bbde405af1510186be2314ffcb4ebe8151c1d06b18f,14548800991,335187483,Amazon,gb,1,Customer service is appalling,I’ve had multiple issues with orders and defective items and you can’t make a formal complaint when you try to customer service just puts the phone down. Sick of calling them so I’d rather delete my account and never use this again. It’s a joke of a service. How do you loose a 6ft mirror for one.,I’ve had multiple issues with orders and defective items and you can’t make a formal complaint when you try to customer service just puts the phone down. Sick of calling them so I’d rather delete my account and never use this again. It’s a joke of a service. How do you loose a 6ft mirror for one.,Emma Thompson 88,27.16.0,2026-09-14T12:49:33Z,False,itunes_rss_mostRecent,False,False
