fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
88e62965a0dda6eaf0711bab92b7216c0e78df7d2c473ad11ae40ee0deb87b38,14568760164,348712880,Amazon,de,1,Müll,Amazonboten Müll,Amazonboten Müll,Alexander van Unrath,27.17.0,2026-09-19T15:35:19Z,False,itunes_rss_mostRecent,False,False
b7f963966cfa5c8c2735e0e54b67b7334e6709e555fde99994d35250e421af57,14566219507,348712880,Amazon,de,3,Anzeige,Die App an sich ist toll aber warum gibt es denn kein Dunkel Modus,Die App an sich ist toll aber warum gibt es denn kein Dunkel Modus,01bigben,27.17.0,2026-09-19T00:12:12Z,False,itunes_rss_mostRecent,False,False
790ef0245f96564c1db8334290844403301e236a6a7133b6b4b66c122f1d0273,14565677030,348712880,Amazon,de,1,Zwang für Ablageort,"Amazon wollte mich heute zwingen einen „sicheren“ Ablageort zu wählen. Zu Auswahl standen Garten, Garage oder Tür.
Habe ich nicht im 3. Stock und die Haustür direkt an der Straße. Der Amazonbote hat zu klingeln und fertig. Der schmeißt eh schon oft genug unerlaubt Pakete vor die Tür.
Also wurde ich genötigt eine Packstation zu nehmen, für einen Artikel der eh im Briefkasten gelandet wäre. Einfach lächerlich.","Amazon wollte mich heute zwingen einen „sicheren“ Ablageort zu wählen. Zu Auswahl standen Garten, Garage oder Tür. 
Habe ich nicht im 3. Stock und die Haustür direkt an der Straße. Der Amazonbote hat zu klingeln und fertig. Der schmeißt eh schon oft genug unerlaubt Pakete vor die Tür. 
Also wurde ich genötigt eine Packstation zu nehmen, für einen Artikel der eh im Briefkasten gelandet wäre. Einfach lächerlich.",fantom83,27.17.0,2026-09-18T20:42:06Z,False,itunes_rss_mostRecent,False,False
09b80d7c7b5bcdf69477182430a5ebe2d2ff07e5aa59d0f225f858b8d67d37f0,14563522734,348712880,Amazon,de,1,Es geht bergab,"Amazon wird nur noch schlimmer mMn. Vorbei sind die Zeiten, in denen der Support alles für dich machen konnte, es gibt nur noch vorgefertigte Optionen die angeboten werden, dieses Mal sogar gegen juristische Gesetze. Beschweren? Ja das geht nur per Mail, damit man dann eine vorgefertigte Mail zurück bekommt.","Amazon wird nur noch schlimmer mMn. Vorbei sind die Zeiten, in denen der Support alles für dich machen konnte, es gibt nur noch vorgefertigte Optionen die angeboten werden, dieses Mal sogar gegen juristische Gesetze. Beschweren? Ja das geht nur per Mail, damit man dann eine vorgefertigte Mail zurück bekommt.",Gyrosteller93,27.17.0,2026-09-18T09:08:37Z,False,itunes_rss_mostRecent,False,False
b7ae7abd83cdc5205ceb9c9786386317db9b3b8e188ec0c75d19873ff62a4758,14563458154,348712880,Amazon,de,1,Speicher verwalten buggy,Speicher löschen stürzt die App direkt ab. Erst seit dieser version von heute,Speicher löschen stürzt die App direkt ab. Erst seit dieser version von heute,Özbagli40,27.17.0,2026-09-18T08:40:06Z,False,itunes_rss_mostRecent,False,False
217b9793402b7af04f3aa18d2cf55af5563209d5bf1bb4a3afe9937e625ad838,14563247587,348712880,Amazon,de,4,Nervig,"Ständig sperren die mein Konto nach einer Bestellung, weil sie denken es wurde gehackt oder sie Stonieren einfach meine Bestellung ohne was zu sagen. Nie wieder.","Ständig sperren die mein Konto nach einer Bestellung, weil sie denken es wurde gehackt oder sie Stonieren einfach meine Bestellung ohne was zu sagen. Nie wieder.",sarah05g,27.17.0,2026-09-18T07:03:15Z,False,itunes_rss_mostRecent,False,False
2756888e764e1d161cefbce2bf3e2242b3f63ae4cc457c1677790187dd6d51c1,14560889967,348712880,Amazon,de,2,Verifizierung,Amazon sendet sms an handy nummer die bei der bank ersetzt wurde durch eine neue nummer: verifizierung der zahlungsweise somit nicht möglich.,Amazon sendet sms an handy nummer die bei der bank ersetzt wurde durch eine neue nummer: verifizierung der zahlungsweise somit nicht möglich.,Tonydissatisfied,27.16.0,2026-09-17T15:51:47Z,False,itunes_rss_mostRecent,False,False
5b5ed9ac0ed09404befee3580daf24267b7a08bf3187aea8f5ca04dc5cf55f09,14560376156,348712880,Amazon,de,3,Wird unübersichtlich,Die letzten Updates sind grauenhaft im Hinblick auf die Kategorie „SparAbo“- völlig unerbsichtlich und verwirrend. Bisher hat das immer super funktioniert - jetzt möchte ich am liebsten alle Abos kündigen. Ansonsten war ich mit Amazon immer sehr zufrieden.,Die letzten Updates sind grauenhaft im Hinblick auf die Kategorie „SparAbo“- völlig unerbsichtlich und verwirrend. Bisher hat das immer super funktioniert - jetzt möchte ich am liebsten alle Abos kündigen. Ansonsten war ich mit Amazon immer sehr zufrieden.,Sonja Herlitze,27.16.0,2026-09-17T13:23:25Z,False,itunes_rss_mostRecent,False,False
3a7894ff590c7b477bd600a083fc6c6a257b1d1dbed2856c1eae7950246fdd8d,14557970037,348712880,Amazon,de,3,It was better years ago,I personally have Problems with the App. My Order was cancelled 4 times without telling me. I changed my paying method 3 times. Because it told me that my normal Bank and my Kredit Card is Not working. So i thought okay i will Pay it when i get it. Out of a sudden the App stops working. It Kicks me out of my Account. Than i have to change my Passwort and than it Denied me my acc Access. So I’m really mad because i wanted something on thursday and now i don’t get it because nothing works !!! Last time i used amazon.,I personally have Problems with the App. My Order was cancelled 4 times without telling me. I changed my paying method 3 times. Because it told me that my normal Bank and my Kredit Card is Not working. So i thought okay i will Pay it when i get it. Out of a sudden the App stops working. It Kicks me out of my Account. Than i have to change my Passwort and than it Denied me my acc Access. So I’m really mad because i wanted something on thursday and now i don’t get it because nothing works !!! Last time i used amazon.,Iloveyoupaulwalker,27.16.0,2026-09-16T20:59:50Z,False,itunes_rss_mostRecent,False,False
480c5c3b9d6c42ce78f4a74edc9da53483b5689fdf1839cf5cdc837e5bb18f43,14557959122,348712880,Amazon,de,1,Keine Lastschrift oder Monatsabrechnung mehr möglich,"Es ging einmal was nicht zum Einziehen, und schon spinnt die Lastschrift so extrem rum, dass man absolut nichts mehr bestellen kann, obwohl das Problem nie wieder vorkommen wird!
Bin offenbar nicht die einzige mit dem Problem.  AMAZON, LASST DIE LEUTE ENDLICH WIEDER PER LASTSCHRIFT BEZAHLEN!","Es ging einmal was nicht zum Einziehen, und schon spinnt die Lastschrift so extrem rum, dass man absolut nichts mehr bestellen kann, obwohl das Problem nie wieder vorkommen wird!
Bin offenbar nicht die einzige mit dem Problem.  AMAZON, LASST DIE LEUTE ENDLICH WIEDER PER LASTSCHRIFT BEZAHLEN!",Faby harrison,27.16.0,2026-09-16T20:55:50Z,False,itunes_rss_mostRecent,False,False
