fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
a9f8d432b2f6a5c57012e84fc3f6ad7b4201959dd327c568c3a243daaf030528,14565561371,387682726,淘宝,cn,1,虚假活动虚假宣传,活动做不起就别做，一边说发生日礼结果兑换码都是不能用的，客服只会车轱辘话根本不解决问题，活该倒闭的软件，态度比不上并夕夕,活动做不起就别做，一边说发生日礼结果兑换码都是不能用的，客服只会车轱辘话根本不解决问题，活该倒闭的软件，态度比不上并夕夕,垃圾软件小红书司马,10.66.20,2026-09-18T20:00:19Z,False,itunes_rss_mostRecent,False,False
0f272f5f221b9b5af10f1444a17dea8500239c64bbfa4160ec7c3268ee7322d9,14565183529,387682726,淘宝,cn,5,非常方便买东西也方便点外卖也方便,超级棒,超级棒,x2,10.66.20,2026-09-18T17:52:52Z,False,itunes_rss_mostRecent,False,False
cd6bfa9551938f20ee508ccdedb5d2818e368d76b90c5fac88ef4ff2af6289cb,14564963404,387682726,淘宝,cn,1,啥子,啥子,啥子,姗小沐,10.66.20,2026-09-18T16:43:53Z,False,itunes_rss_mostRecent,False,False
b37049118cdcb1e44e41dc3e78669660eb288c700ae2a77929844785dd5dd92b,14564928232,387682726,淘宝,cn,1,我就想搜个商品不停地让我登录,烦不烦？什么时候登录不行？手机卡没在这等不了，连搜个商品都不行了？恶心死人了，本来想下个软件买东西被恶心得半夜睡不着觉,烦不烦？什么时候登录不行？手机卡没在这等不了，连搜个商品都不行了？恶心死人了，本来想下个软件买东西被恶心得半夜睡不着觉,LasyLuis,10.66.20,2026-09-18T16:33:18Z,False,itunes_rss_mostRecent,False,False
e99ff0300f489640b8d769dcc7ced33a08224709d50bdc51bb32022678bc3983,14564793057,387682726,淘宝,cn,1,烂,官方集运仓一直换地址导致我的包裹一直被退回 被退回就算了我申请退款我钱也没收到 想改地址又改不了 问客服又天天把我当皮球踢一样让我去问商家 真的有够垃圾,官方集运仓一直换地址导致我的包裹一直被退回 被退回就算了我申请退款我钱也没收到 想改地址又改不了 问客服又天天把我当皮球踢一样让我去问商家 真的有够垃圾,nfjdndj,10.66.20,2026-09-18T15:53:18Z,False,itunes_rss_mostRecent,False,False
5c2c76389a38f5b29e0766521a9255a8ca05353a734252c4e950a47cbfae4c7e,14564607776,387682726,淘宝,cn,3,能否适配一下iOS 27的透明图标？,现在的图标在透明模式就是白色的很丑，非常丑,现在的图标在透明模式就是白色的很丑，非常丑,十朴寸,10.66.20,2026-09-18T15:00:38Z,False,itunes_rss_mostRecent,False,False
34f87a44f70da076cff26ed521a55b642cc9df4cfe615d02a83df941e5736611,14564454265,387682726,淘宝,cn,1,垃圾购物,最垃圾的购物软件只能说是,最垃圾的购物软件只能说是,垃圾游戏王者123qwe,10.66.20,2026-09-18T14:17:52Z,False,itunes_rss_mostRecent,False,False
6e967720840ece519209113d721c2a7b24fd21f7006c4f3b82f580e42735cdec,14564113187,387682726,淘宝,cn,1,优惠券弹窗太多了，真的很烦！,每点开一个商品详情页都要弹一到两个弹窗，搞得我都心情继续刷了，骂几遍了还不改，设计这玩意的人脑子有病吧,每点开一个商品详情页都要弹一到两个弹窗，搞得我都心情继续刷了，骂几遍了还不改，设计这玩意的人脑子有病吧,懒羊羊233,10.66.20,2026-09-18T12:39:23Z,False,itunes_rss_mostRecent,False,False
ea487f5dc4c46af0778d02d60ff60d56eb8a7cb12aad3de3c941b9ab19c401b5,14564103504,387682726,淘宝,cn,1,cmn,cmn的，这个app这么多年了，连个最起码的体验都做不好，rsmn，jl东西,cmn的，这个app这么多年了，连个最起码的体验都做不好，rsmn，jl东西,魔尊地瓜,10.66.20,2026-09-18T12:36:23Z,False,itunes_rss_mostRecent,False,False
c76b8783c6dc80b41662892ba9a84c1323be32b8c65482aa2a14e66782c2b65a,14564020625,387682726,淘宝,cn,1,尽量别选,选淘宝的都太笨了,选淘宝的都太笨了,黄站,10.66.20,2026-09-18T12:11:02Z,False,itunes_rss_mostRecent,False,False
d8fc8aabd3a701fe046ebec17133f915e89186498741d2dd8d3cd92adcc8a4af,14563985233,387682726,淘宝,cn,5,好用,使用方便（,使用方便（,junpingyi,10.66.20,2026-09-18T11:59:53Z,False,itunes_rss_mostRecent,False,False
74a002e718a4b476bad17d2721de4235002cf69443d3844dd5bbfcd73aaa4894,14563789803,387682726,淘宝,cn,2,挂正牌卖假货,多管管那些卖假货的吧那些货不对版的,多管管那些卖假货的吧那些货不对版的,连点赞👍,10.66.20,2026-09-18T10:54:35Z,False,itunes_rss_mostRecent,False,False
311aa47ab360112ebff774b05d6be05e4e8d3f9b3295e7f1e789e98834259828,14563627303,387682726,淘宝,cn,2,离谱！,前几天还可以用微信支付！这两天！直接没有微信支付这个选项了！！！88 会员也没啥权益，甚至比不是 88 会员的还贵,前几天还可以用微信支付！这两天！直接没有微信支付这个选项了！！！88 会员也没啥权益，甚至比不是 88 会员的还贵,家有小十亿,10.66.20,2026-09-18T09:52:27Z,False,itunes_rss_mostRecent,False,True
fcf94fe44f2ce37113b647f8e1f8fd373d03fd684224571299d36ac947c05ce4,14563578991,387682726,淘宝,cn,1,垃圾软件广告跳转！就不用淘宝,垃圾淘宝，就喜欢投广告跳转！我就不用！,垃圾淘宝，就喜欢投广告跳转！我就不用！,陀螺Tony,10.66.20,2026-09-18T09:32:38Z,False,itunes_rss_mostRecent,False,False
d73150412979df0b98fd6581b8de68f265ea38a2dac9f35fd04d58c8322833b6,14563359361,387682726,淘宝,cn,5,售后,下架的产品售后希望官方能关注一下，有的商家有问必答有的商家也回复信息，就是问一个问题等半天才回复要不然就石沉大海了，既然东西都卖给用户了希望也能把售后服务做到位,下架的产品售后希望官方能关注一下，有的商家有问必答有的商家也回复信息，就是问一个问题等半天才回复要不然就石沉大海了，既然东西都卖给用户了希望也能把售后服务做到位,15345689416,10.66.20,2026-09-18T07:55:09Z,False,itunes_rss_mostRecent,False,False
c64786473b664854db266be802377f0fbbbf623a1c6a26bb6dcf05a08ace2301,14563316227,387682726,淘宝,cn,1,商家不退款，平台也管不了,这双平台大家少用,这双平台大家少用,反馈问题。。,10.66.20,2026-09-18T07:35:12Z,False,itunes_rss_mostRecent,False,False
1942bc2734b323703800ead2c06acbdfda2048d3bbfb7f2dbad80c006dfbb95b,14563247397,387682726,淘宝,cn,1,lj,服务太慢 服务太垃圾,服务太慢 服务太垃圾,崇加鹏sb,10.66.20,2026-09-18T07:03:10Z,False,itunes_rss_mostRecent,False,False
8ce2a5c0a11444c10f8dc825ff07f89c55b8d0d846ae9f026599e807d0dc0ebb,14563175951,387682726,淘宝,cn,3,百亿补贴的价格比平时还要贵，比其他平台还要贵，这个也叫百亿补贴吗,现在优惠越来越少不如以前力度大，有时想买个东西时又不触发限时红包，不想买一直发，红包机制太坑人,现在优惠越来越少不如以前力度大，有时想买个东西时又不触发限时红包，不想买一直发，红包机制太坑人,yy654,10.66.20,2026-09-18T06:29:55Z,False,itunes_rss_mostRecent,False,False
0e1a65e3a950631db5873f9243cb51f0f2c66fbf8f5acc1710c94e70b9016af3,14563140564,387682726,淘宝,cn,1,买到假货，淘宝承认却无法赔偿,我于2024年五月在淘宝买了一枚金戒指，当时购买金额为1409，于25年初发现戒指为假货，找淘宝客服客服说将会于7日内退款，7日后跟我说店家跑了，我的钱也没回来，后续淘宝官方就一直推卸责任,我于2024年五月在淘宝买了一枚金戒指，当时购买金额为1409，于25年初发现戒指为假货，找淘宝客服客服说将会于7日内退款，7日后跟我说店家跑了，我的钱也没回来，后续淘宝官方就一直推卸责任,淘宝卖假货，承认后推卸责任,10.66.20,2026-09-18T06:13:23Z,False,itunes_rss_mostRecent,False,False
99da2458111e0870824b803c9de900aa75c368a33d9888f382b6d994ddbbc17b,14562977579,387682726,淘宝,cn,1,客服服务就这吗,我闪购莫名其妙被限制下单了。到现在二十多天了吧。我期间找了好几次客服，先不说转人工要跟机器人沟通无数遍才可以转到人工。这个人工回复消息又慢又敷衍我发了很多描述我的问题，我态度非常好，跟他解决，他就毁了一句机器人写的那种自动回复，然后我后面说你解决不了就能解决的人来，人家还是不理我，我问很多个问题，就只回答一个。投诉也没有投诉的地方，客服态度可拽了，感觉好像我求他办事一样,我闪购莫名其妙被限制下单了。到现在二十多天了吧。我期间找了好几次客服，先不说转人工要跟机器人沟通无数遍才可以转到人工。这个人工回复消息又慢又敷衍我发了很多描述我的问题，我态度非常好，跟他解决，他就毁了一句机器人写的那种自动回复，然后我后面说你解决不了就能解决的人来，人家还是不理我，我问很多个问题，就只回答一个。投诉也没有投诉的地方，客服态度可拽了，感觉好像我求他办事一样,菠萝llllllllk,10.66.20,2026-09-18T04:56:45Z,False,itunes_rss_mostRecent,False,False
287d70a3b3c5b0e35ec911c05e5eb3691578df290dbc893eb322c05f7135363f,14562861800,387682726,淘宝,cn,1,垃圾软件,每个人下单的金额都不一样，铺天盖地的营销广告，看不到的差评，买东西比别人贵,每个人下单的金额都不一样，铺天盖地的营销广告，看不到的差评，买东西比别人贵,meng73737,10.66.20,2026-09-18T04:02:34Z,False,itunes_rss_mostRecent,False,False
dcfe1373bf648587452f0d5338f0723b2c1df6093593b0ba1eff65909d1b64c2,14562793225,387682726,淘宝,cn,1,假货太多,淘宝现在好多假货，好评都是商家自己刷出来的、投诉差评以后、商家以退还买价的1/3要求把差评删掉。,淘宝现在好多假货，好评都是商家自己刷出来的、投诉差评以后、商家以退还买价的1/3要求把差评删掉。,天赋吉运8888,10.66.20,2026-09-18T03:31:26Z,False,itunes_rss_mostRecent,False,False
0358a143c7f2223ac6c04d6c9483210d050307fcdbdcc85e9dc791af75fa1d9e,14562630952,387682726,淘宝,cn,1,算法会像耍猴一样愚弄你,所有商品都会像股票一样，在你快要买时立刻涨价，然后至少三到五天才会降价，然后再涨价，它在教训你，愚弄你的时间，浪费你的金钱,所有商品都会像股票一样，在你快要买时立刻涨价，然后至少三到五天才会降价，然后再涨价，它在教训你，愚弄你的时间，浪费你的金钱,Llpoug,10.66.20,2026-09-18T02:21:37Z,False,itunes_rss_mostRecent,False,False
3ba2e2eaed403b384a4a9a0002396cbc9b43c624c946e74713562ebe10bf1a36,14561836261,387682726,淘宝,cn,1,垃圾,真的一点都不好用，闪购也是老送错地址，不是商家和骑手的原因是闪购定位从来都不准确,真的一点都不好用，闪购也是老送错地址，不是商家和骑手的原因是闪购定位从来都不准确,ll.LJ,10.66.20,2026-09-17T21:06:37Z,False,itunes_rss_mostRecent,False,False
9d023882d383d49cfe0d17cedfd4bf67dd3e9f9bdacb10ff8eeb5dfa6f9829d6,14561258052,387682726,淘宝,cn,5,感谢！,感谢淘宝平台！,感谢淘宝平台！,小菲妹妹的男友,10.66.20,2026-09-17T17:45:36Z,False,itunes_rss_mostRecent,False,False
3b8a333df0d65bd8f2745095a5e4a29611e768fa5b225c4718284120b9e9aa02,14561206472,387682726,淘宝,cn,2,深色模式打开跟没打开一样,能不能修复下这bug,能不能修复下这bug,小大人2021,10.66.20,2026-09-17T17:29:02Z,False,itunes_rss_mostRecent,False,False
dbdd09a0532fe385bd59d22d7b8bafdb52b86c29ba5f30df8e133240947c8d24,14560636671,387682726,淘宝,cn,1,越用越辣鸡,加油加油，必样的app，国家的奋变，民族的挑担，社会的英精 真正的大芬 加油!!! 向你设敬!,加油加油，必样的app，国家的奋变，民族的挑担，社会的英精 真正的大芬 加油!!! 向你设敬!,(O_o)..,10.66.20,2026-09-17T14:38:01Z,False,itunes_rss_mostRecent,False,False
9f6df6d0fa2985058abbc80ffb67e88a1b00df4c138cb112c1efdd52ab845c5a,14560472243,387682726,淘宝,cn,3,老客户的失望是一点点攒出来的,我真是淘宝的一代用户了！原来最信任的淘宝，一点点让我攒够了失望！杀熟加质量监管不到位，算法没有人情味！对老客户反而都是高价！不得不几个平台来回对比！说好的信任不值一提！品控没有唯品会强，价格没有拼多多便宜，直播没有抖音方便，我还坚守着你不知道值不值得！,我真是淘宝的一代用户了！原来最信任的淘宝，一点点让我攒够了失望！杀熟加质量监管不到位，算法没有人情味！对老客户反而都是高价！不得不几个平台来回对比！说好的信任不值一提！品控没有唯品会强，价格没有拼多多便宜，直播没有抖音方便，我还坚守着你不知道值不值得！,包蚂娥,10.66.20,2026-09-17T13:51:22Z,False,itunes_rss_mostRecent,False,False
56515ee93d6764bb2c6615cf87f12b7d44d7f52d9098d97bed00b3bc0d3a99a0,14560018577,387682726,淘宝,cn,5,每天淘一淘,好物不错过,好物不错过,魏振华健康,10.66.20,2026-09-17T11:33:14Z,False,itunes_rss_mostRecent,False,False
070ebba35711db517bb4e8543bf234b3f9d52a8cf11094c986353c99b4b49049,14559895841,387682726,淘宝,cn,2,cs,cs软件广告能不能少点啊 脑子有病一样,cs软件广告能不能少点啊 脑子有病一样,无199jrjrben,10.66.20,2026-09-17T10:50:10Z,False,itunes_rss_mostRecent,False,False
13f97974ceb8eee8433443587ba5af6e1a77cd55bb017605283ebe25ca0a09b6,14559639650,387682726,淘宝,cn,1,88VIP的隐形福利,淘金币不受邀，有金币七八千也是几块钱的钓鱼慢慢抵，红包签到入口莫名消失，搜索提示未受邀，结果就是同一款东西，没有88VIP的人比有88VIP的人买到手的更贵！这可能就是淘宝平台给88VIP受众群体的隐形福利！,淘金币不受邀，有金币七八千也是几块钱的钓鱼慢慢抵，红包签到入口莫名消失，搜索提示未受邀，结果就是同一款东西，没有88VIP的人比有88VIP的人买到手的更贵！这可能就是淘宝平台给88VIP受众群体的隐形福利！,88VIP881,10.66.20,2026-09-17T09:02:31Z,False,itunes_rss_mostRecent,False,False
d06257385964f3c4b8a6aab8a5a72efe30e1097a76cf1102fd0b65c03c6ea83d,14559533971,387682726,淘宝,cn,4,更好——期待,保证无假货就好了。,保证无假货就好了。,lyg54123,10.66.20,2026-09-17T08:12:35Z,False,itunes_rss_mostRecent,False,False
ee1a3f2be5b05f541f8ec552ac6aa91b704aad28cd68eb2b0f1b5d532f5dcb65,14559396348,387682726,淘宝,cn,1,所有的东西都是7天/15天预售,"可以管管现在的商家么，买个衣服，所有的都是预售！体验非常差。 全都是预售预售预售！！！！！

越做越差 实际上买贵了并没法退差价！一找客服就是平台一套独特的算法和玩法，最后告诉你没法退差价","可以管管现在的商家么，买个衣服，所有的都是预售！体验非常差。 全都是预售预售预售！！！！！

越做越差 实际上买贵了并没法退差价！一找客服就是平台一套独特的算法和玩法，最后告诉你没法退差价",Xueeeeeeeeeo,10.66.20,2026-09-17T07:06:13Z,False,itunes_rss_mostRecent,False,False
cd35ef65583dd9f2e16a17cc6159a384fa2199ebec4c37370f529331d23502b6,14559391987,387682726,淘宝,cn,1,虚假宣传,每个月免单卷还限量，都点到vip了还搞限量这一套，那这个限时的vip有什么用，纯粹的虚假宣传,每个月免单卷还限量，都点到vip了还搞限量这一套，那这个限时的vip有什么用，纯粹的虚假宣传,zxcbmmh,10.66.20,2026-09-17T07:04:09Z,False,itunes_rss_mostRecent,False,False
