fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
5ba519ff451354e22219ce50f569c9a1e17adc6770d3747f0ed8e03ef9beab70,14569713220,6474233312,Kimi,us,5,Wow,"I’d likely give GPT and Claude a 3 star.  I’d likely give DeepSeek a 4.  Free, but with less technical abilities.  This one gets a 5 from me.  Merging both concepts into a really powerful and light weight tool.","I’d likely give GPT and Claude a 3 star.  I’d likely give DeepSeek a 4.  Free, but with less technical abilities.  This one gets a 5 from me.  Merging both concepts into a really powerful and light weight tool.",Its.just.a.nickname,3.1.2,2026-09-19T20:32:35Z,False,itunes_rss_mostRecent,False,False
28c2094680f6a827cac2725146312985e10de6f66244a83341db1f63b9eba402,14569277888,6474233312,Kimi,us,1,吃相也太难看了吧,我之前是真的很喜欢这个应用，之前都是免费无限畅聊，但是最近更新完版本后，就变了，每天要不就是额度已用完或聊天的人太多了，唯一的解决办法就是充值，不充值就不行，越用越烦,我之前是真的很喜欢这个应用，之前都是免费无限畅聊，但是最近更新完版本后，就变了，每天要不就是额度已用完或聊天的人太多了，唯一的解决办法就是充值，不充值就不行，越用越烦,風終澟,3.1.2,2026-09-19T18:07:43Z,False,itunes_rss_mostRecent,False,False
cc5d566afb362290c5c03a06d37672afdca6a0db128a01481861d08d7d558cfc,14568239843,6474233312,Kimi,cn,1,现在不充钱基本不给用了,免费版本基本等于没有免费,免费版本基本等于没有免费,dummyliar,3.1.2,2026-09-19T13:10:26Z,False,itunes_rss_mostRecent,False,False
163684f386fc7489e1af3233396006197792932b0bf9ef0c231fdd794f819096,14568013863,6474233312,Kimi,cn,5,你很聪明啊,目前是我用过最聪明的AI了，有时候，你的思考角度让我眼前一亮，有时候，你说的话让我震惊,目前是我用过最聪明的AI了，有时候，你的思考角度让我眼前一亮，有时候，你说的话让我震惊,芹芹小毛豆,3.1.2,2026-09-19T12:01:25Z,False,itunes_rss_mostRecent,False,False
54396c6257a45bd06ef292b602924ea2144d6a3e629ba0b4ebbdfee550b3ce71,14567530988,6474233312,Kimi,cn,1,简直有病,现在根本没有办法正常使用，免费额度少，回答又慢，没一会儿又出现令人厌恶的红圈，真的越来越难用了。明明大可以直接改成收费软件，还要弄成是假装免费的来恶心我们,现在根本没有办法正常使用，免费额度少，回答又慢，没一会儿又出现令人厌恶的红圈，真的越来越难用了。明明大可以直接改成收费软件，还要弄成是假装免费的来恶心我们,The.12$,3.1.2,2026-09-19T09:04:18Z,False,itunes_rss_mostRecent,False,False
a3ee517f6da4fe61131afe4d84bd28682c57417087ac239d9f9235131e175e91,14567462125,6474233312,Kimi,us,1,不用下载了，没有额度,又不让充值，免费版也没额度。整天就是当前额度已用尽。用尽你下架不行吗骗人下载？,又不让充值，免费版也没额度。整天就是当前额度已用尽。用尽你下架不行吗骗人下载？,ChouHang,3.1.2,2026-09-19T08:36:54Z,False,itunes_rss_mostRecent,False,False
231f7bc12c89d78b82f8f9875d6d7ffbe6fc338268546952e2bf3a41976c674c,14567211958,6474233312,Kimi,cn,3,一般,额度限制太恶心了,额度限制太恶心了,顶配平板Wang GMaz,3.1.2,2026-09-19T06:55:23Z,False,itunes_rss_mostRecent,False,False
5aafce12ea5318d1076628ea70f5ad046ac978cc51e7b55c9bff4778fce5d442,14567044099,6474233312,Kimi,cn,1,恢复,现用户体验日益剧下，还恳请取消普通用户的积分限额，增设普通免费聊天。（还有，为什么我五十万token一下就花完了）,现用户体验日益剧下，还恳请取消普通用户的积分限额，增设普通免费聊天。（还有，为什么我五十万token一下就花完了）,emmlmmmm,3.1.2,2026-09-19T05:44:14Z,False,itunes_rss_mostRecent,False,False
7fa4ba263554ef3fbf00080cf1403a7042cd13b881c3bf3b1a834b89b2fb0f54,14566686880,6474233312,Kimi,cn,1,吃相难看,第一次下载想用一下k3 结果连信息都发不出去一直说太多人在用得开vip，既然太挤了那我换一个吧,第一次下载想用一下k3 结果连信息都发不出去一直说太多人在用得开vip，既然太挤了那我换一个吧,自由的熊66,3.1.2,2026-09-19T03:11:23Z,False,itunes_rss_mostRecent,False,False
71c106b2a61b3580f739d75f49da4a17584ca4e996f5ed9a5c672f19cfbe5700,14566451911,6474233312,Kimi,cn,1,让它不要洋夹土突然冒英语单词，提醒了不下一百次依然没有效果，这一点上不如文心助手。,让它不要洋夹土突然冒英语单词，提醒了不下一百次依然没有效果，这一点上不如文心助手。,让它不要洋夹土突然冒英语单词，提醒了不下一百次依然没有效果，这一点上不如文心助手。,旖旎飞雪,3.1.2,2026-09-19T01:40:44Z,False,itunes_rss_mostRecent,False,False
2938e258fd86b2ff8042735b0ca5cf0c3963c37fcb0d2d7ffbbbfc008b434752,14565160495,6474233312,Kimi,us,3,"Model is decent, but thinking/reasoning inferior to frontier models","The model is decent and capable of things, but its thinking/reasoning capabilities are far inferior to those I’ve experienced with Claude and ChatGPT.

I subscribed for $100 for a month but didn’t really use it because I couldn’t beat the advanced reasoning from my Claude subscription and importing my ongoing projects was too much of a nightmare (very little effective help from Kimi).

Absent frontier-like reasoning capability developments, I probably won’t try Kimi again and especially won’t pay for it without a trial.","The model is decent and capable of things, but its thinking/reasoning capabilities are far inferior to those I’ve experienced with Claude and ChatGPT.

I subscribed for $100 for a month but didn’t really use it because I couldn’t beat the advanced reasoning from my Claude subscription and importing my ongoing projects was too much of a nightmare (very little effective help from Kimi). 

Absent frontier-like reasoning capability developments, I probably won’t try Kimi again and especially won’t pay for it without a trial.",Justinr9999,3.1.2,2026-09-18T17:45:23Z,False,itunes_rss_mostRecent,False,False
09d1351980038befb31cb57c38e58660820d9a676590c732740cc0d991c9f187,14564888872,6474233312,Kimi,cn,1,吃相难看,第一次用，让他生成 ppt，生成后打不开文件，后面再让他干点什么全是和 kimi 聊天人太多了，让订会员，吃相太难看了吧,第一次用，让他生成 ppt，生成后打不开文件，后面再让他干点什么全是和 kimi 聊天人太多了，让订会员，吃相太难看了吧,早起500个包子睡不着,3.1.2,2026-09-18T16:21:28Z,False,itunes_rss_mostRecent,False,False
