fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
25d60ab720f4ed3f40871284a8c8a44203eb1b95d12f7248dc64f290b872e9f6,14569510339,6794501026,Grok Bot,us,5,I’m living in the future,It’s like texting an employee to go get stuff done for you. All using your voice or text. It’s wild watching them use their computer.,It’s like texting an employee to go get stuff done for you. All using your voice or text. It’s wild watching them use their computer.,P00ch1e,1.11.1,2026-09-19T19:22:33Z,False,itunes_rss_mostRecent,False,False
85cff06169e96a152ce647fa123cd9a7306468f2e085475fb2ef2306474d74e2,14568915633,6794501026,Grok Bot,us,5,Mind Blown,The best digital product I’ve ever used—second only to the internet itself.,The best digital product I’ve ever used—second only to the internet itself.,Nicolasg 1986,1.11.1,2026-09-19T16:19:29Z,False,itunes_rss_mostRecent,False,False
c6775f3547b91960e8c8bdc5977283bac5c5ce4055352793f3e5e7517f3a8a71,14568183000,6794501026,Grok Bot,us,5,Simple yet Powerful!,"Great job, xAI team! This platform is super simple to use and incredibly helpful.","Great job, xAI team! This platform is super simple to use and incredibly helpful.",CB Pensacola,1.11.1,2026-09-19T12:53:42Z,False,itunes_rss_mostRecent,False,False
f00120e5334c3afdb4e7a892cad28e6af9292c8ba0fffebc0c49b2af4ad6ae81,14568109578,6794501026,Grok Bot,us,5,Good so far,Going to test for GHL access and hopefully automations can be implemented,Going to test for GHL access and hopefully automations can be implemented,Free wave,1.11.1,2026-09-19T12:31:29Z,False,itunes_rss_mostRecent,False,False
3585b2c415bafe3bacd9533661606baf69c5e3be227a30a69f9ac241df8ad852,14567965558,6794501026,Grok Bot,us,4,"Great work, but expensive","It’s very useful, enjoy very much setting up the team. But the tokens burned very fast and very expensive. Cannot even run a simple project, burnt out the pro plan in three hours","It’s very useful, enjoy very much setting up the team. But the tokens burned very fast and very expensive. Cannot even run a simple project, burnt out the pro plan in three hours",Akalexth,1.11.1,2026-09-19T11:45:40Z,False,itunes_rss_mostRecent,False,False
38231c3e698f88a082a6de9ca837b095d3195b1dc326467eef2d7126af6cbfef,14567672016,6794501026,Grok Bot,us,5,Key words,Here’s the problem everyone has. No one speaks ai. So we don’t know the keywords the system is looking for in order to perform the task correctly or even at a level we don’t know.  Other than that. I’m excited for the future. Those that think this is going to crush people. Remember this are probably the same people complaining about something else in life. They always find the bad in good. But know good and bad are the same principles as cause and effect. Or ying and yang. One will follow the other.,Here’s the problem everyone has. No one speaks ai. So we don’t know the keywords the system is looking for in order to perform the task correctly or even at a level we don’t know.  Other than that. I’m excited for the future. Those that think this is going to crush people. Remember this are probably the same people complaining about something else in life. They always find the bad in good. But know good and bad are the same principles as cause and effect. Or ying and yang. One will follow the other.,08state,,2026-09-19T09:59:33Z,True,web_ssr_helpful,False,False
c36084d0e64bf4603c42b536e176c2fc7f66aa47aac08259398ba664d2f0f584,14567243363,6794501026,Grok Bot,us,5,Hell yeah brother,This dude is soooo sick,This dude is soooo sick,Gergert12322444,1.11.1,2026-09-19T07:08:14Z,False,itunes_rss_mostRecent,False,False
acb0eb2d52bd4ade5db72577847a750744ba7800ccaac99ef17adee1ffb3b2d6,14567094059,6794501026,Grok Bot,us,5,Helpful life changing,Great I would write a whole paragraph but to lazy just know it’s great hands down one of the most useful tool out there.,Great I would write a whole paragraph but to lazy just know it’s great hands down one of the most useful tool out there.,Raily0909,1.11.1,2026-09-19T06:05:50Z,False,itunes_rss_mostRecent,False,False
a0e89fab5b974d63f6885d78741af489b1e8661658e79700809487d9f6fd5064,14566802610,6794501026,Grok Bot,us,2,Text Input Box bug in Chinese,"In Chinese type, text input box can not automatically wrap when content overflowing the box, section of overflow will be hidden.","In Chinese type, text input box can not automatically wrap when content overflowing the box, section of overflow will be hidden.",Spring Shoot,1.11.1,2026-09-19T03:58:58Z,False,itunes_rss_mostRecent,False,False
e6b0cb4ebd95dd6a9f2b81e7f80c470f3444241ab57432a25863a086e63b504e,14566417165,6794501026,Grok Bot,us,5,The best,Will change your life !!!,Will change your life !!!,Jay66569,1.11.1,2026-09-19T01:27:37Z,False,itunes_rss_mostRecent,False,False
5b2a0b3dd0229384fbd132b1b59975de1c4fac121e570c5e621327dd11486e5f,14566133949,6794501026,Grok Bot,us,5,My personal experience ! Favorite AI agent!,I love it. I went through all of the apps and this is my top number one AI agent plus their video and photo editing is so  good !,I love it. I went through all of the apps and this is my top number one AI agent plus their video and photo editing is so  good !,Vivalabammm,1.11.1,2026-09-18T23:39:02Z,False,itunes_rss_mostRecent,False,False
ce4aabc5716a135d895e290c271826629b14effbfc2b890efd9ba3f6ef6dcc51,14566054412,6794501026,Grok Bot,us,5,Essential App,The title says it all.,The title says it all.,SCHKR,1.11.1,2026-09-18T23:07:27Z,False,itunes_rss_mostRecent,False,False
9d6d759d5acd2205d4ce6d773708fa37287053cb2efbcab634fa2b909593c759,14565840066,6794501026,Grok Bot,us,2,Over hyped,It can do some cool things but it’s way over hyped on social media. I’ve been using this daily with the max subscription for a month now . The agents often don’t follow instructions and are off in the weeds doing things differently then commanded and therefore wasting a lot of credits. I’ve already cancelled and gone back to perplexity,It can do some cool things but it’s way over hyped on social media. I’ve been using this daily with the max subscription for a month now . The agents often don’t follow instructions and are off in the weeds doing things differently then commanded and therefore wasting a lot of credits. I’ve already cancelled and gone back to perplexity,NoMoreSaul,1.11.1,2026-09-18T21:43:15Z,False,itunes_rss_mostRecent,False,False
2a9b0ab22629a4e636b330e5eedc2fe35a7e4f03ba07e7ad19c8c61ae4e86ff1,14565707815,6794501026,Grok Bot,us,5,Excellent tool for everything!!,The bots have been great helping me set up my business. I have a bot that  helps with each aspect from lead acquisition to lead input CRM to marketing. All in one place like a team! I will say once your weekly usage runs out and you need more. DO NOT DO THE ON-DEMAND usage. It’s Crazy expensive. Just upgrade your plan for the month. They should work on that charge but other than that! It’s great!,The bots have been great helping me set up my business. I have a bot that  helps with each aspect from lead acquisition to lead input CRM to marketing. All in one place like a team! I will say once your weekly usage runs out and you need more. DO NOT DO THE ON-DEMAND usage. It’s Crazy expensive. Just upgrade your plan for the month. They should work on that charge but other than that! It’s great!,H.S1700,,2026-09-18T20:53:30Z,True,web_ssr_helpful,False,False
f7e1997c9131409d102886757b0cf7e6603f666c0e7e919b7ee5c67702dd6d38,14565653410,6794501026,Grok Bot,us,5,Change the world,This will have a greater impact on the human race than any other AI has had up to this point. It’s unbelievable.,This will have a greater impact on the human race than any other AI has had up to this point. It’s unbelievable.,Thesaltycritic,1.11.1,2026-09-18T20:33:26Z,False,itunes_rss_mostRecent,False,False
